iso,ms,ev,dist,rssi,off,rtt,seq,golat
2026-09-22T12:50:10.095Z,1790081410095.0,ping,40,0,-1790081214054.460,24129.00,,
2026-09-22T12:50:10.103Z,1790081410102.0,go,40,0,-1790081214054.460,,36,32.85
2026-09-22T12:50:12.160Z,1790081412159.0,ping,40,0,-1790081214054.460,25941.00,,
2026-09-22T12:50:12.185Z,1790081412184.0,ping,40,0,-1790081214054.460,25714.00,,
2026-09-22T12:50:12.213Z,1790081412213.0,ping,40,0,-1790081214054.460,25491.00,,
2026-09-22T12:50:12.232Z,1790081412231.0,ping,40,0,-1790081214054.460,25257.00,,
2026-09-22T12:50:12.245Z,1790081412244.0,ping,40,0,-1790081214054.460,25017.00,,
2026-09-22T12:50:13.028Z,1790081413027.0,ping,40,0,-1790081214054.460,25549.00,,
2026-09-22T12:50:16.579Z,1790081416578.0,ping,40,0,-1790081214054.460,28848.00,,
2026-09-22T12:50:16.584Z,1790081416584.0,ping,40,0,-1790081214054.460,28603.00,,
2026-09-22T12:50:16.585Z,1790081416584.0,ping,40,0,-1790081214053.944,28351.00,,
2026-09-22T12:50:16.585Z,1790081416585.0,ping,40,0,-1790081214053.739,28099.00,,
2026-09-22T12:50:16.586Z,1790081416585.0,ping,40,0,-1790081214053.605,27847.00,,
2026-09-22T12:50:16.586Z,1790081416585.0,ping,40,0,-1790081214053.605,27595.00,,
2026-09-22T12:50:16.586Z,1790081416586.0,ping,40,0,-1790081214053.949,27345.00,,
2026-09-22T12:50:16.649Z,1790081416649.0,ping,40,0,-1790081214053.949,27156.00,,
2026-09-22T12:50:16.668Z,1790081416667.0,ping,40,0,-1790081214053.735,26921.00,,
2026-09-22T12:50:16.720Z,1790081416720.0,go,40,0,-1790081214053.735,,37,63.03
2026-09-22T12:50:18.743Z,1790081418742.0,ping,40,0,-1790081214053.735,28739.00,,
2026-09-22T12:50:18.749Z,1790081418748.0,ping,40,0,-1790081214053.735,28498.00,,
2026-09-22T12:50:18.751Z,1790081418750.0,ping,40,0,-1790081214053.735,28248.00,,
2026-09-22T12:50:18.786Z,1790081418785.0,ping,40,0,-1790081214053.735,28031.00,,
2026-09-22T12:50:18.792Z,1790081418791.0,ping,40,0,-1790081214053.735,27785.00,,
2026-09-22T12:50:18.804Z,1790081418803.0,ping,40,0,-1790081214053.735,27545.00,,
2026-09-22T12:50:18.807Z,1790081418806.0,ping,40,0,-1790081214053.735,27295.00,,
2026-09-22T12:50:18.814Z,1790081418813.0,ping,40,0,-1790081214053.735,27051.00,,
2026-09-22T12:50:18.917Z,1790081418916.0,ping,40,0,-1790081214053.735,26902.00,,
2026-09-22T12:50:18.971Z,1790081418970.0,ping,40,0,-1790081214053.735,26704.00,,
