# accel_live capture
# started_utc: 2026-09-07T14:03:54.026026+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.110948,2661783970,-0.0468,0.1137,0.9355,2026-09-07T14:03:59.211371+00:00
0.111982,2661785004,-0.0512,0.0156,0.9950,2026-09-07T14:03:59.213867+00:00
0.113006,2661786028,-0.0259,-0.0049,1.0472,2026-09-07T14:03:59.216247+00:00
0.114028,2661787050,-0.0059,0.0068,1.1322,2026-09-07T14:03:59.218600+00:00
0.115052,2661788074,-0.0473,-0.0498,0.9199,2026-09-07T14:03:59.221095+00:00
0.116075,2661789097,-0.0303,-0.1396,0.8325,2026-09-07T14:03:59.223608+00:00
0.117096,2661790118,-0.0137,-0.1240,0.9067,2026-09-07T14:03:59.226002+00:00
0.118136,2661791158,-0.0102,-0.0839,0.9370,2026-09-07T14:03:59.228461+00:00
0.119179,2661792201,-0.0151,-0.0229,0.9618,2026-09-07T14:03:59.230892+00:00
0.120201,2661793223,-0.0093,-0.1035,1.0980,2026-09-07T14:03:59.233391+00:00
0.121251,2661794273,-0.0327,-0.0195,1.0277,2026-09-07T14:03:59.235801+00:00
0.122272,2661795294,-0.0142,-0.0825,1.0014,2026-09-07T14:03:59.238236+00:00
0.123294,2661796316,-0.0346,-0.0952,0.9301,2026-09-07T14:03:59.240568+00:00
0.124315,2661797337,-0.0478,-0.1723,0.9287,2026-09-07T14:03:59.243084+00:00
0.125337,2661798359,-0.0429,-0.0747,0.9448,2026-09-07T14:03:59.245483+00:00
0.126358,2661799380,-0.1069,0.0459,1.0365,2026-09-07T14:03:59.247805+00:00
0.127380,2661800402,-0.1049,0.0600,1.0448,2026-09-07T14:03:59.250080+00:00
0.128401,2661801423,-0.0922,0.0830,1.0009,2026-09-07T14:03:59.252311+00:00
0.129423,2661802445,-0.0781,0.1078,1.1727,2026-09-07T14:03:59.254715+00:00
0.130499,2661803521,-0.0283,-0.0512,0.8911,2026-09-07T14:03:59.257093+00:00
0.131522,2661804544,0.0073,0.0966,0.9736,2026-09-07T14:03:59.259342+00:00
0.132544,2661805566,0.0166,-0.0298,1.0390,2026-09-07T14:03:59.261587+00:00
0.133566,2661806588,0.0312,-0.0054,1.1297,2026-09-07T14:03:59.263875+00:00
0.134588,2661807610,0.0205,-0.0185,1.1834,2026-09-07T14:03:59.266261+00:00
0.135611,2661808633,0.0649,-0.1610,1.2381,2026-09-07T14:03:59.268612+00:00
0.136633,2661809655,0.0405,-0.1005,1.0463,2026-09-07T14:03:59.270977+00:00
0.137655,2661810677,0.0244,-0.1078,0.9936,2026-09-07T14:03:59.273204+00:00
0.138682,2661811704,0.0190,-0.0795,1.0141,2026-09-07T14:03:59.275496+00:00
0.139704,2661812726,-0.0020,-0.0200,0.8886,2026-09-07T14:03:59.277885+00:00
0.140726,2661813748,-0.0122,0.0439,1.0692,2026-09-07T14:03:59.280279+00:00
0.141748,2661814770,-0.0185,-0.0917,1.2029,2026-09-07T14:03:59.282713+00:00
0.142789,2661815811,-0.0093,-0.0493,0.9023,2026-09-07T14:03:59.285021+00:00
0.143813,2661816835,-0.0088,0.0117,1.0736,2026-09-07T14:03:59.287394+00:00
0.144835,2661817857,-0.1191,-0.1684,0.7300,2026-09-07T14:03:59.289916+00:00
0.145859,2661818881,-0.0156,-0.0927,0.8472,2026-09-07T14:03:59.292349+00:00
0.146880,2661819902,-0.1362,0.0112,0.9555,2026-09-07T14:03:59.294719+00:00
0.147905,2661820927,-0.0361,-0.0893,1.1858,2026-09-07T14:03:59.297036+00:00
0.148929,2661821951,-0.1044,0.0439,1.0487,2026-09-07T14:03:59.299461+00:00
0.149951,2661822973,0.0288,0.0220,1.1287,2026-09-07T14:03:59.301827+00:00
0.150973,2661823995,-0.0264,-0.0190,0.8823,2026-09-07T14:03:59.304232+00:00
0.152014,2661825036,-0.0171,0.0356,1.0248,2026-09-07T14:03:59.306592+00:00
0.153056,2661826078,0.0102,-0.0883,1.1722,2026-09-07T14:03:59.308996+00:00
0.154079,2661827101,0.0010,-0.0029,1.0390,2026-09-07T14:03:59.311376+00:00
0.155128,2661828150,0.0156,-0.0288,1.2366,2026-09-07T14:03:59.313824+00:00
0.156150,2661829172,-0.0156,-0.0381,0.9599,2026-09-07T14:03:59.316260+00:00
0.157171,2661830193,0.0366,0.0264,1.0082,2026-09-07T14:03:59.318466+00:00
0.158193,2661831215,-0.0571,-0.0634,0.9370,2026-09-07T14:03:59.320893+00:00
0.159214,2661832236,0.0259,-0.0146,1.0082,2026-09-07T14:03:59.323138+00:00
0.160238,2661833260,-0.1152,-0.0293,1.0263,2026-09-07T14:03:59.325590+00:00
0.161259,2661834281,-0.0307,0.0049,1.0326,2026-09-07T14:03:59.328141+00:00
0.162281,2661835303,-0.0229,-0.0098,1.0165,2026-09-07T14:03:59.333584+00:00
0.163302,2661836324,-0.0278,-0.0307,0.9726,2026-09-07T14:03:59.333596+00:00
0.164324,2661837346,-0.1225,-0.0527,1.0487,2026-09-07T14:03:59.335565+00:00
0.165394,2661838416,-0.0400,-0.0830,1.0082,2026-09-07T14:03:59.337666+00:00
0.166417,2661839439,-0.0093,-0.0459,1.0053,2026-09-07T14:03:59.341372+00:00
0.167439,2661840461,-0.0224,-0.0786,1.0995,2026-09-07T14:03:59.343883+00:00
0.168461,2661841483,-0.0244,-0.0303,0.9780,2026-09-07T14:03:59.345003+00:00
0.169493,2661842515,-0.0361,-0.0386,1.0482,2026-09-07T14:03:59.347235+00:00
0.170515,2661843537,-0.0176,-0.0586,1.0219,2026-09-07T14:03:59.349494+00:00
0.171539,2661844561,-0.0185,-0.0346,1.0160,2026-09-07T14:03:59.351906+00:00
0.172565,2661845587,-0.0293,-0.0151,0.9950,2026-09-07T14:03:59.354550+00:00
0.173587,2661846609,-0.0151,-0.0327,1.0077,2026-09-07T14:03:59.357099+00:00
0.174609,2661847631,-0.0224,0.1152,1.0463,2026-09-07T14:03:59.359332+00:00
0.175631,2661848653,-0.0224,-0.0229,1.0536,2026-09-07T14:03:59.361506+00:00
0.176671,2661849693,-0.0234,-0.0264,1.0360,2026-09-07T14:03:59.363971+00:00
0.177694,2661850716,-0.0146,-0.0386,1.0438,2026-09-07T14:03:59.366234+00:00
0.178716,2661851738,-0.0224,-0.0449,1.0238,2026-09-07T14:03:59.368587+00:00
0.179740,2661852762,-0.0083,-0.0259,1.0433,2026-09-07T14:03:59.371192+00:00
0.180762,2661853784,-0.0181,-0.0483,1.0297,2026-09-07T14:03:59.373690+00:00
0.181785,2661854807,-0.0015,-0.0322,1.0482,2026-09-07T14:03:59.377302+00:00
0.182812,2661855834,-0.0127,-0.0361,1.0502,2026-09-07T14:03:59.378910+00:00
0.183836,2661856858,-0.0093,-0.0366,1.0160,2026-09-07T14:03:59.380965+00:00
0.184858,2661857880,-0.0068,-0.0381,1.0243,2026-09-07T14:03:59.383819+00:00
0.185882,2661858904,-0.0132,-0.0371,1.0102,2026-09-07T14:03:59.385819+00:00
0.186940,2661859962,-0.0156,-0.0342,1.0399,2026-09-07T14:03:59.388400+00:00
0.187962,2661860984,-0.0181,-0.0444,1.0033,2026-09-07T14:03:59.390801+00:00
0.189012,2661862034,-0.0137,-0.0298,1.0409,2026-09-07T14:03:59.393283+00:00
0.190048,2661863070,-0.0210,-0.0410,1.0165,2026-09-07T14:03:59.395681+00:00
0.191069,2661864091,-0.0166,-0.0386,1.0199,2026-09-07T14:03:59.398146+00:00
0.192091,2661865113,-0.0264,-0.0356,1.0209,2026-09-07T14:03:59.400589+00:00
0.193112,2661866134,-0.0224,-0.0346,1.0126,2026-09-07T14:03:59.403096+00:00
0.194134,2661867156,-0.0220,-0.0317,1.0277,2026-09-07T14:03:59.405478+00:00
0.195155,2661868177,-0.0210,-0.0259,1.0194,2026-09-07T14:03:59.407820+00:00
0.196177,2661869199,-0.0220,-0.0342,1.0165,2026-09-07T14:03:59.410416+00:00
0.197203,2661870225,-0.0190,-0.0268,1.0277,2026-09-07T14:03:59.412753+00:00
