# accel_live capture
# started_utc: 2026-09-03T12:33:00.953876+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
1.072317,173337686,0.0234,-0.0344,1.0187,2026-09-03T12:33:02.033896+00:00
1.076753,173342122,0.0249,-0.0351,1.0170,2026-09-03T12:33:02.038313+00:00
1.081127,173346496,0.0232,-0.0342,1.0182,2026-09-03T12:33:02.042730+00:00
1.085502,173350871,0.0254,-0.0354,1.0194,2026-09-03T12:33:02.046989+00:00
1.089777,173355146,0.0256,-0.0332,1.0180,2026-09-03T12:33:02.051247+00:00
1.094029,173359398,0.0237,-0.0346,1.0180,2026-09-03T12:33:02.055574+00:00
1.098336,173363705,0.0242,-0.0349,1.0187,2026-09-03T12:33:02.064698+00:00
1.102694,173368063,0.0239,-0.0364,1.0175,2026-09-03T12:33:02.064712+00:00
1.106974,173372343,0.0249,-0.0346,1.0177,2026-09-03T12:33:02.068716+00:00
1.111343,173376712,0.0234,-0.0354,1.0163,2026-09-03T12:33:02.073106+00:00
1.115684,173381053,0.0242,-0.0359,1.0170,2026-09-03T12:33:02.077437+00:00
1.119956,173385325,0.0246,-0.0351,1.0177,2026-09-03T12:33:02.082310+00:00
1.124225,173389594,0.0242,-0.0342,1.0172,2026-09-03T12:33:02.086811+00:00
1.128577,173393946,0.0239,-0.0368,1.0172,2026-09-03T12:33:02.090372+00:00
1.132859,173398228,0.0246,-0.0354,1.0180,2026-09-03T12:33:02.094519+00:00
1.137118,173402487,0.0254,-0.0356,1.0175,2026-09-03T12:33:02.099541+00:00
1.141564,173406933,0.0244,-0.0344,1.0182,2026-09-03T12:33:02.103341+00:00
1.145864,173411233,0.0251,-0.0349,1.0175,2026-09-03T12:33:02.107673+00:00
1.150174,173415543,0.0249,-0.0342,1.0170,2026-09-03T12:33:02.111983+00:00
1.154516,173419885,0.0244,-0.0356,1.0170,2026-09-03T12:33:02.116357+00:00
1.158857,173424226,0.0239,-0.0366,1.0175,2026-09-03T12:33:02.120695+00:00
1.163177,173428546,0.0244,-0.0364,1.0165,2026-09-03T12:33:02.124945+00:00
1.167432,173432801,0.0246,-0.0354,1.0160,2026-09-03T12:33:02.129423+00:00
